2018-11-09 21:58:55,935 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-09 21:58:55,938 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-11-09 21:58:55,944 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-09 21:58:55,953 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-09 21:59:08,674 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-09 21:59:08,692 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-11-09 21:59:08,705 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-09 21:59:08,709 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-09 21:59:52,000 [Worker-33] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-09 21:59:52,019 [Worker-33] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2018-11-09 21:59:52,023 [Worker-33] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-09 21:59:52,026 [Worker-33] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-09 22:00:22,978 [Worker-33] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-09 22:00:23,011 [Worker-33] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2018-11-09 22:00:23,016 [Worker-33] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-09 22:00:23,019 [Worker-33] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-09 22:01:06,403 [Worker-33] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-09 22:01:06,489 [Worker-33] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2018-11-09 22:01:06,493 [Worker-33] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-09 22:01:06,496 [Worker-33] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
